rank,train_id,train_name,criterion_code,criterion_name,raw_value,normalized_value,weight,weighted_value,data_status
1,5,VF nitrifying hybrid,C1,treatment_fit,0.9,0.36550981135971566,0.2583127416872584,0.09441584148592076,known
1,5,VF nitrifying hybrid,C2,standard_fit,0.9,0.5287768411550129,0.2583127416872584,0.13658979557947928,known
1,5,VF nitrifying hybrid,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
1,5,VF nitrifying hybrid,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
1,5,VF nitrifying hybrid,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
1,5,VF nitrifying hybrid,C7,footprint,14.0,0.765900770923219,0.09975490024509975,0.0764023550010907,known
1,5,VF nitrifying hybrid,C8,om,0.3333333333333333,0.6231442744445848,0.11390588609411391,0.07097980074508413,known
2,3,DEWATS modular train,C1,treatment_fit,0.9341333333333333,0.3793721093905434,0.2583127416872584,0.09799664969634976,known
2,3,DEWATS modular train,C2,standard_fit,0.6,0.3525178941033419,0.2583127416872584,0.09105986371965286,known
2,3,DEWATS modular train,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
2,3,DEWATS modular train,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
2,3,DEWATS modular train,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
2,3,DEWATS modular train,C7,footprint,10.3,0.8277698528935111,0.09975490024509975,0.0825740991012931,known
2,3,DEWATS modular train,C8,om,0.19999999999999998,0.7738865646667509,0.11390588609411391,0.08815023488469605,known
3,1,WSP Train (pond series),C1,treatment_fit,0.71,0.28834662896155344,0.2583127416872584,0.07448360828333749,known
3,1,WSP Train (pond series),C2,standard_fit,0.5,0.2937649117527849,0.2583127416872584,0.07588321976637738,known
3,1,WSP Train (pond series),C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
3,1,WSP Train (pond series),C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
3,1,WSP Train (pond series),C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
3,1,WSP Train (pond series),C7,footprint,7.0,0.8829503854616095,0.09975490024509975,0.08807862762309523,known
3,1,WSP Train (pond series),C8,om,0.19999999999999998,0.7738865646667509,0.11390588609411391,0.08815023488469605,known
4,4,Septic + HSSF + polishing,C1,treatment_fit,0.923678787878788,0.37512628834949624,0.2583127416872584,0.09689990002252342,known
4,4,Septic + HSSF + polishing,C2,standard_fit,0.5,0.2937649117527849,0.2583127416872584,0.07588321976637738,known
4,4,Septic + HSSF + polishing,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
4,4,Septic + HSSF + polishing,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
4,4,Septic + HSSF + polishing,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
4,4,Septic + HSSF + polishing,C7,footprint,13.0,0.7826221444287034,0.09975490024509975,0.07807039394709135,known
4,4,Septic + HSSF + polishing,C8,om,0.2,0.7738865646667508,0.11390588609411391,0.08815023488469603,known
5,6,French VF (no primary),C1,treatment_fit,0.8051428571428572,0.32698623759100914,0.2583127416872584,0.08446471152613484,known
5,6,French VF (no primary),C2,standard_fit,0.6,0.3525178941033419,0.2583127416872584,0.09105986371965286,known
5,6,French VF (no primary),C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
5,6,French VF (no primary),C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
5,6,French VF (no primary),C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
5,6,French VF (no primary),C7,footprint,5.0,0.9163931324725783,0.09975490024509975,0.09141470551509653,known
5,6,French VF (no primary),C8,om,0.6,0.3216596940002525,0.11390588609411391,0.0366389324658603,known
6,2,UASB-based STP,C1,treatment_fit,0.9329545454545455,0.3788933776847558,0.2583127416872584,0.09787298719689515,known
6,2,UASB-based STP,C2,standard_fit,0.25,0.14688245587639245,0.2583127416872584,0.03794160988318869,known
6,2,UASB-based STP,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
6,2,UASB-based STP,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
6,2,UASB-based STP,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
6,2,UASB-based STP,C7,footprint,3.05,0.9489998108082727,0.09975490024509975,0.09466738145979778,known
6,2,UASB-based STP,C8,om,0.275,0.6890940264167824,0.11390588609411391,0.07849186568116434,known
7,8,Pond + sewage-fed aquaculture,C1,treatment_fit,0.8333333333333334,0.33843501051825525,0.2583127416872584,0.08742207544992664,known
7,8,Pond + sewage-fed aquaculture,C2,standard_fit,0.6666666666666666,0.3916865490037132,0.2583127416872584,0.10117762635516983,known
7,8,Pond + sewage-fed aquaculture,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
7,8,Pond + sewage-fed aquaculture,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
7,8,Pond + sewage-fed aquaculture,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
7,8,Pond + sewage-fed aquaculture,C7,footprint,54.0,0.09704583070384465,0.09975490024509975,0.009680797161064863,known
7,8,Pond + sewage-fed aquaculture,C8,om,0.275,0.6890940264167824,0.11390588609411391,0.07849186568116434,known
8,7,On-site disposal,C1,treatment_fit,,0.36550981135971566,0.2583127416872584,0.09441584148592076,unknown_median_imputed
8,7,On-site disposal,C2,standard_fit,,0.3525178941033419,0.2583127416872584,0.09105986371965286,unknown_median_imputed
8,7,On-site disposal,C3,site_fit,0.0,0.0,0.09970490029509972,0.0,known
8,7,On-site disposal,C4,source_fit,0.15,0.11266736492830194,0.11390588609411391,0.012833476036047125,known
8,7,On-site disposal,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
8,7,On-site disposal,C7,footprint,,0.8277698528935111,0.09975490024509975,0.0825740991012931,unknown_median_imputed
8,7,On-site disposal,C8,om,0.2,0.7738865646667508,0.11390588609411391,0.08815023488469603,known
